Sample_Name,Batch,Top5_LabID,Weight..gram.,gDNA.Concentration..ng.ul.,qpcr_nM,CollDate,Latitude,Longitude,pH,Clay,Sand,Silt,temp_mean,precipitation_mean,KG_Main,KG_Sub,KG_TempType,KG_Main_Sub,KG_MST,trnl_raw_rc,its2_raw_rc,trnl_nonchim,its2_nonchim
Sample154,4,C-350623,102,43.6,71.52,11/3/10,36.8611,-76.8535,4.7,14.5,41.6,44,15.16100626,99.16778874,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,127117,47823,113897,25067
Sample155,4,C-351157,103,56,174.39,7/16/10,38.7575,-85.4293,5.8,20.4,29,65,12.12182283,97.32860544,Cold,Without dry season,Hot summer,Cold_Without dry season,Cold_Without dry season_Hot summer,175905,131475,138731,69236
Sample156,4,C-351171,122,26,127.14,7/21/10,40.7275,-85.4121,6.4,35,78,3,10.3705644,80.20340278,Cold,Without dry season,Hot summer,Cold_Without dry season,Cold_Without dry season_Hot summer,121445,76392,109469,40901
Sample157,4,C-351206,105,44.3,124.28,7/14/10,38.0661,-87.4459,6.5,24.2,26.3,52.7,13.58017563,98.48175851,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,136535,155919,111074,90026
Sample158,4,C-351342,106,19.6,95.1,8/13/10,36.155,-80.7449,4.7,NA,NA,NA,14.16875344,97.34631652,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,181615,101765,159278,61790
Sample159,4,C-351351,104,55,163.98,7/23/10,35.5259,-82.2856,5.3,NA,NA,NA,12.34515336,105.2570113,Temperate,Without dry season,Warm summer,Temperate_Without dry season,Temperate_Without dry season_Warm summer,40803,44543,35573,25801
Sample160,4,C-351657,128,0,8.23,7/2/10,35.0903,-110.9392,8.2,12,70,18,12.79755339,17.85254445,Arid,Steppe,Cold,Arid_Steppe,Arid_Steppe_Cold,140,1702,50,238
Sample161,4,C-351731,103,44.1,133.94,7/15/10,34.4146,-111.789,7.6,72.2,25.9,1.9,17.34427024,36.22885558,Arid,Steppe,Cold,Arid_Steppe,Arid_Steppe_Cold,86071,147991,74883,81974
Sample162,4,C-351748,116,41.6,70.58,7/2/10,34.7168,-109.0718,8,5.6,77.1,17.3,10.63918387,24.73396113,Arid,Steppe,Cold,Arid_Steppe,Arid_Steppe_Cold,376162,266791,324930,131311
Sample163,4,C-352984,105,43.2,133.3,6/28/10,44.0946,-121.1623,7,2,81.7,16.3,8.485800392,21.50876107,Arid,Steppe,Cold,Arid_Steppe,Arid_Steppe_Cold,228771,211812,181970,127217
Sample164,4,C-352998,102,3.89,87.41,7/27/10,44.1597,-123.5735,5.7,20,42.1,37.9,11.11450608,130.596886,Temperate,Dry summer,Warm summer,Temperate_Dry summer,Temperate_Dry summer_Warm summer,171791,34597,157319,15586
Sample165,4,C-353028,103,12.2,142.06,6/29/10,43.6738,-120.8227,7,11.6,71.8,16.6,5.362405801,22.27811942,Cold,Without dry season,Warm summer,Cold_Without dry season,Cold_Without dry season_Warm summer,80489,23615,67824,9501
Sample166,4,C-353031,105,18.7,78.38,6/7/10,44.6873,-117.1053,7,31.5,19.9,48.6,9.304925456,43.30571668,Cold,Dry summer,Hot summer,Cold_Dry summer,Cold_Dry summer_Hot summer,59415,93701,50112,43527
Sample167,4,C-353066,104,45.1,142.96,7/6/10,42.0566,-124.1021,4.9,19.4,41.2,39.4,12.28300336,187.4247442,Temperate,Dry summer,Warm summer,Temperate_Dry summer,Temperate_Dry summer_Warm summer,127271,25119,116598,7845
Sample168,4,C-353167,101,53,139.49,7/11/10,36.0324,-86.0188,5.6,33.1,71.7,7.3,14.34669792,112.2123138,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,157666,143488,120709,86136
Sample169,5,C-353179,100,43.2,120.7,7/10/10,36.4611,-84.2125,5,16.5,18.7,64.8,13.04185617,124.3748805,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,54895,45756,49807,31629
Sample170,5,C-353899,100,27,117.96,6/11/10,46.1379,-117.8107,6.4,21.5,26.1,52.4,6.601925313,117.5103998,Cold,Dry summer,Warm summer,Cold_Dry summer,Cold_Dry summer_Warm summer,170788,50362,156699,26435
Sample171,5,C-353916,105,46.7,248.3,6/15/10,47.9558,-119.5036,7.2,12.5,45.7,41.8,8.938844862,24.54477216,Arid,Steppe,Cold,Arid_Steppe,Arid_Steppe_Cold,101169,52844,92333,36943
